FIPS_Code,Unemployed_2019
39049,"25,014"
39051,941
39053,669
39055,"1,762"
39057,"3,176"
39059,"1,031"
39061,"16,042"
39063,"1,346"
39065,589
39067,363
39069,619
39071,898
39073,608
39075,635
39077,"1,631"
39079,800
39081,"1,643"
39083,"1,270"
39085,"4,826"
39087,"1,246"
39089,"3,429"
39091,844
39093,"6,812"
39095,"9,916"
39097,730
39099,"5,995"
39101,"1,167"
39103,"3,462"
39105,637
39107,619
39109,"2,034"
39111,447
39113,"10,736"
39115,440
39117,705
39119,"1,969"
39121,331
39123,"1,210"
39125,335
39127,839
39129,"1,075"
39131,677
39133,"3,741"
39135,806
39137,591
39139,"2,401"
39141,"1,503"
39143,"1,333"
39145,"1,835"
39147,"1,150"
39149,866
39151,"8,502"
39153,"11,799"
39155,"5,393"
39157,"1,962"
39159,958
39161,495
39163,318
39165,"4,284"
39167,"1,490"
39169,"2,043"
39171,640
39173,"2,647"
39175,412
40000,"57,282"
40001,315
40003,53
40005,201
40007,55
40009,312
40011,89
40013,617
40015,396
40017,"2,031"
40019,696
40021,704
40023,248
40025,22
40027,"3,839"
40029,91
40031,"1,658"
40033,80
40035,198
40037,"1,104"
40039,374
40041,648
40043,58
40045,50
40047,768
40049,375
40051,774
40053,53
40055,73
40057,32
40059,47
40061,210
40063,244
40065,292
40067,76
40069,153
40071,732
40073,176
40075,122
40077,185
40079,840
40081,526
40083,606
40085,132
40087,511
40089,770
40091,389
40093,78
40095,226
40097,570
40099,179
40101,"1,080"
40103,129
40105,148
40107,198
40109,"11,480"
40111,727
40113,737
40115,449
40117,273
40119,"1,032"
40121,676
